"header","col"
"equip_acq_over_500k_6_1_1",
"fac_name",
"fac_name_1_1_1",
"icd_implantation",
"icd_implantation_5_712_1",
"implantable_cardio_defib_implantation",
"implantable_cardio_defib_implantation_5_712_1",
"intra_aortic_balloon_pump_ins",
"intra_aortic_balloon_pump_ins_5_82_1",
"licensure_cvsurg_svcs",
"licensure_cvsurg_svcs_5_41_1",
"myocardial_biopsy",
"myocardial_biopsy_5_66_1",
"op_rm_ip_and_op",
"op_rm_ip_and_op_5_9_1",
"op_rm_ip_only",
"op_rm_ip_only_5_7_1",
"op_rm_min_ip",
"op_rm_min_ip_5_1_2",
"op_rm_min_op",
"op_rm_min_op_5_2_2",
"op_rm_op_only",
"op_rm_op_only_5_8_1",
"op_rm_totl",
"op_rm_totl_5_10_1",
"oshpd_id",
"oshpd_id_1_2_1","oshpd_id"
"oth_icd_procedures",
"oth_icd_procedures_5_713_1",
"oth_perm_pacemaker_proc",
"oth_perm_pacemaker_proc_5_711_1",
"oth_procedures",
"oth_procedures_5_713_1",
"othr_cath_proc",
"othr_cath_proc_5_84_1",
"pacemkr_perm_impl",
"pacemkr_perm_impl_5_71_1",
"pci_angioplasty_with_stent",
"pci_angioplasty_with_stent_5_72_1",
"pci_angioplasty_without_stent",
"pci_angioplasty_without_stent_5_73_1",
"pci_with_stent",
"pci_with_stent_5_72_1",
"pci_without_stent",
"pci_without_stent_5_73_1",
"peripheral_vascular_angiography",
"peripheral_vascular_angiography_5_79_1",
"peripheral_vascular_interventional",
"peripheral_vascular_interventional_5_80_1",
"proj_01_descrip_cap_exp",
"proj_01_descrip_cap_exp_6_26_1",
"proj_01_oshpd_proj_no",
"proj_01_oshpd_proj_no_6_26_3",
"proj_01_projtd_cap_exp",
"proj_01_projtd_cap_exp_6_26_2",
"proj_02_descrip_cap_exp",
"proj_02_descrip_cap_exp_6_27_1",
"proj_02_oshpd_proj_no",
"proj_02_oshpd_proj_no_6_27_3",
"proj_02_projtd_cap_exp",
"proj_02_projtd_cap_exp_6_27_2",
"proj_03_descrip_cap_exp",
"proj_03_descrip_cap_exp_6_28_1",
"proj_03_oshpd_proj_no",
"proj_03_oshpd_proj_no_6_28_3",
"proj_03_projtd_cap_exp",
"proj_03_projtd_cap_exp_6_28_2",
"proj_04_descrip_cap_exp",
"proj_04_descrip_cap_exp_6_29_1",
"proj_04_oshpd_proj_no",
"proj_04_oshpd_proj_no_6_29_3",
"proj_04_projtd_cap_exp",
"proj_04_projtd_cap_exp_6_29_2",
"proj_05_descrip_cap_exp",
"proj_05_descrip_cap_exp_6_30_1",
"proj_05_oshpd_proj_no",
"proj_05_oshpd_proj_no_6_30_3",
"proj_05_projtd_cap_exp",
"proj_05_projtd_cap_exp_6_30_2",
"ptbv",
"ptbv_5_76_1",
"ptbv_balloon",
"ptbv_balloon_5_76_1",
"ptca_angioplasty_with_stent",
"ptca_angioplasty_with_stent_5_72_1",
"ptca_angioplasty_without_stent",
"ptca_angioplasty_without_stent_5_73_1",
"surg_ip",
"surg_ip_5_1_1",
"surg_op",
"surg_op_5_2_1",
"thrombo_agt",
"thrombo_agt_5_75_1",
