table,seq,column,is_pk,is_fk,id,type,size,width,description
primarypro,8,name,,,c03903008,VARCHAR,50,254,
primarypro,9,type,,,c03903009,VARCHAR,12,15,
primarypro,10,designatio,,,c0390300a,VARCHAR,10,15,
primarypro,11,hpsaid,,,c0390300b,VARCHAR,10,15,
primarypro,12,fte,,,c0390300c,VARCHAR,4,15,
primarypro,13,score,,,c0390300d,INTEGER,2,9,
primarypro,14,hpsa_pover,,,c0390300e,REAL,,19,
primarypro,15,hpsa_short,,,c0390300f,REAL,,19,
primarypro,16,hpsa_ratio,,,c0390300g,VARCHAR,8,50,
primarypro,17,pop,,,c0390300h,REAL,,19,
primarypro,18,pop100pov,,,c0390300i,REAL,,19,
primarypro,19,pop200pov,,,c0390300j,REAL,,19,
primarypro,20,pop_civ,,,c0390300k,INTEGER,6,9,
primarypro,21,pct100pov,,,c0390300l,REAL,,19,
primarypro,22,pct200pov,,,c0390300m,REAL,,19,
primarypro,23,subtypedes,,,c0390300n,VARCHAR,17,50,
primarypro,24,unit_count,,,c0390300o,INTEGER,2,9,
primarypro,25,hpsa_degre,,,c0390300p,VARCHAR,1,50,
primarypro,26,hpsa_desig,,,c0390300q,VARCHAR,10,10,
primarypro,27,hpsa_lastu,,,c0390300r,VARCHAR,10,10,
primarypro,28,poverty_un,,,c0390300s,INTEGER,6,9,
primarypro,29,shape_leng,,,c0390300t,REAL,,19,
primarypro,30,shape_area,,,c0390300u,REAL,,19,
primarypro,31,geometry,,,c0390300v,MULTIPOLYGON,,,
,,,,,,,,,
primarycare,1,id,1,,t03904,INTEGER,,,
primarycare,2,objectid,,,c03904002,INTEGER,3,9,
primarycare,3,unit_count,,,c03904003,INTEGER,2,4,
primarycare,4,cnty_fips,,,c03904004,VARCHAR,3,3,
primarycare,5,county,,,c03904005,VARCHAR,15,20,
primarycare,6,mssa_id,,,c03904006,VARCHAR,8,10,
primarycare,7,mssa_name,,,c03904007,VARCHAR,130,160,
primarycare,8,definition,,,c03904008,VARCHAR,8,10,
primarycare,9,popdensity,,,c03904009,REAL,,19,
primarycare,10,area_sqmi,,,c0390400a,REAL,,19,
primarycare,11,pop,,,c0390400b,INTEGER,6,9,
primarycare,12,pop_civ,,,c0390400c,INTEGER,6,9,
primarycare,13,pop100pov,,,c0390400d,INTEGER,5,9,
primarycare,14,pct100pov,,,c0390400e,REAL,,19,
primarycare,15,pcsa,,,c0390400f,INTEGER,1,4,
primarycare,16,pcsa_score,,,c0390400g,REAL,,19,
primarycare,17,pc_phys,,,c0390400h,INTEGER,3,4,
primarycare,18,pc_phys_r,,,c0390400i,REAL,,19,
primarycare,19,totalpovpo,,,c0390400j,INTEGER,6,9,
primarycare,20,povscore,,,c0390400k,INTEGER,1,9,
primarycare,21,physratios,,,c0390400l,INTEGER,1,9,
primarycare,22,shape_leng,,,c0390400m,REAL,,19,
primarycare,23,shape_area,,,c0390400n,REAL,,19,
primarycare,24,geometry,,,c0390400o,MULTIPOLYGON,,,
,,,,,,,,,
mental,1,id,1,,t03905,INTEGER,,,
mental,2,objectid,,,c03905002,INTEGER,3,9,
mental,3,cnty_fips,,,c03905003,VARCHAR,3,3,
mental,4,county,,,c03905004,VARCHAR,15,20,
mental,5,mssa_id,,,c03905005,VARCHAR,7,10,
mental,6,mssa_name,,,c03905006,VARCHAR,120,160,
mental,7,definition,,,c03905007,VARCHAR,8,10,
mental,8,name,,,c03905008,VARCHAR,50,254,
mental,9,type,,,c03905009,VARCHAR,13,15,
mental,10,designatio,,,c0390500a,VARCHAR,10,10,
mental,11,designat_1,,,c0390500b,VARCHAR,10,15,
mental,12,hpsaid,,,c0390500c,VARCHAR,10,15,
mental,13,fte,,,c0390500d,VARCHAR,3,15,
mental,14,score,,,c0390500e,INTEGER,2,9,
mental,15,hpsa_pover,,,c0390500f,REAL,,19,
mental,16,hpsa_short,,,c0390500g,REAL,,19,
mental,17,hpsa_ratio,,,c0390500h,VARCHAR,8,50,
mental,18,pop,,,c0390500i,REAL,,19,
mental,19,pop100pov,,,c0390500j,REAL,,19,
mental,20,pop200pov,,,c0390500k,REAL,,19,
mental,21,subtype,,,c0390500l,VARCHAR,17,100,
mental,22,poverty_un,,,c0390500m,INTEGER,6,9,
mental,23,pct100pov,,,c0390500n,REAL,,19,
mental,24,pct200pov,,,c0390500o,REAL,,19,
mental,25,last_updat,,,c0390500p,VARCHAR,10,10,
mental,26,shape_leng,,,c0390500q,REAL,,19,
mental,27,shape_area,,,c0390500r,REAL,,19,
mental,28,geometry,,,c0390500s,MULTIPOLYGON,,,
